"city_name","coord.lon","coord.lat"
"Alaminos",119.9811,16.1561
"Angeles City",120.5833,15.15
"Antipolo",121.19,15.6181
"Bacolod",123.5085,12.2285
"Bacoor",120.929,14.459
"Bago City",122.8333,10.5333
"Baguio",120.5931,16.4164
"Bais",123.1228,9.5911
"Balanga",120.5361,14.6761
"Batac City",120.5649,18.0554
"Batangas City",121.05,13.75
"Bayawan",122.8011,9.3636
"Baybay",123.7135,13.4083
"Bayugan",125.7675,8.7561
"Bislig",125.0336,11.0725
"Bi単an",121.0807,14.3427
"Bogo",124.0055,11.0517
"Borongan",125.4319,11.6081
"Butuan",125.5436,8.9492
"Cabadbaran",125.5344,9.1236
"Cabanatuan City",120.9667,15.4833
"Cabuyao",121.1262,14.2726
"Cadiz",123.2856,10.9506
"Cagayan de Oro",124.6472,8.4822
"Calaca",120.8133,13.9324
"Calamba",121.1653,14.2117
"Calapan",121.1803,13.4117
"Calbayog City",124.6,12.0667
"Caloocan City",120.9667,14.65
"Candon",120.4517,17.1947
"Canlaon",123.1964,10.3864
"Carcar",123.6402,10.1061
"Carmona",121.0576,14.3132
"Catbalogan",124.8861,11.7753
"Cauayan",121.7725,16.9347
"Cavite City",120.9169,14.4825
"Cebu City",123.8907,10.3167
"City of Marikina",121.1,14.6333
"City of Masbate",123.5833,12.3333
"City of Passi",122.65,11.15
"City of Sorsogon",123.9833,12.9833
"Cotabato",124.2464,7.2236
"Dagupan",121.5047,17.7061
"Danao",124.0272,10.5208
"Dapitan",123.9469,10.2706
"Dasmari単as",120.9367,14.3294
"Davao",125.6128,7.0731
"Digos",125.3572,6.7497
"Dipolog",123.3414,8.5894
"Dumaguete",123.3081,9.3103
"El Salvador",124.5225,8.5631
"Escalante",123.4992,10.8403
"Gapan",120.9464,15.3072
"General Santos",125.1717,6.1128
"General Trias",120.8817,14.3869
"Gingoog City",125.1167,8.8333
"Himamaylan",122.8706,10.0989
"Ilagan",121.8892,17.1485
"Iligan City",124.4,8.25
"Iloilo City",122.55,10.75
"Imus",120.9367,14.4297
"Iriga City",123.4167,13.4167
"Isabela",122.9888,10.2048
"Kabankalan",122.8122,9.9889
"Kidapawan",125.0894,7.0083
"Koronadal",124.8469,6.5031
"La Carlota",122.9208,10.4233
"Lamitan",125.7022,6.0872
"Laoag",120.5936,18.1989
"Lapu-Lapu City",123.9494,10.3103
"Las Pi単as",120.9828,14.4506
"Legazpi City",123.7333,13.1333
"Ligao",123.5325,13.2403
"Lipa City",121.1667,13.95
"Lucena",122.5967,10.8794
"Maasin",122.4347,10.8925
"Mabalacat City",120.5736,15.2216
"Makati City",121.0327,14.5503
"Malabon",119.9379,15.6361
"Malaybalay",125.0833,8.15
"Malolos",120.8117,14.8419
"Mandaluyong City",121.0409,14.5832
"Mandaue City",123.9333,10.3333
"Manila",120.9822,14.6042
"Marawi",124.2928,7.9986
"Mati",125.4708,9.7339
"Meycauayan",120.9608,14.7369
"Mu単oz",120.9031,15.7161
"Naga",123.1814,13.6192
"Navotas",120.95,14.6667
"Olongapo",120.2828,14.8292
"Ormoc",124.6075,11.0064
"Oroquieta",123.8044,8.4858
"Ozamiz City",123.8333,8.15
"Pagadian",123.437,7.8257
"Palayan City",121.0833,15.55
"Panabo",125.6842,7.3081
"Paranaque City",121.0175,14.4816
"Pasig",121.065,14.587
"Puerto Princesa City",118.7333,9.7333
"Quezon City",121.0333,14.6333
"Roxas",121.6201,17.1189
"Sagay",123.4242,10.9447
"Samal",120.5431,14.7678
"San Carlos",120.8931,15.5448
"San Fernando",120.3166,16.6159
"San Jose",121.8712,17.8927
"San Jose del Monte",121.0453,14.8139
"San Juan",120.4583,17.7422
"San Pablo",120.6197,14.9696
"San Pedro",121.8833,17.2
"Santa Rosa",120.9378,15.4238
"Santiago",120.4449,17.2939
"Santo Tomas",121.7645,17.3997
"Silay City",122.9667,10.8
"Sipalay",122.4042,9.7519
"Surigao City",125.5,9.75
"Tabaco",123.7336,13.3586
"Tabuk",121.4443,17.4189
"Tacloban City",125.0,11.25
"Tacurong",124.6764,6.6925
"Tagaytay City",120.9337,14.1059
"Taguig",121.0792,14.5243
"Talisay",122.9226,14.1343
"Tanauan",121.1498,14.0863
"Tandag",126.1986,9.0783
"Tangub",122.9306,10.6339
"Tanjay",123.1583,9.5153
"Tarlac City",120.5986,15.4889
"Tayabas",121.5911,14.0289
"Toledo City",123.6333,10.3833
"Tuguegarao",121.7269,17.6131
"Urdaneta",120.5711,15.9761
"Valencia",124.5725,11.1089
"Valenzuela",120.9667,14.7
"Victorias",123.0778,10.9
"Vigan",120.3869,17.5747
"Zamboanga City",122.0696,6.9135
